@relation 'MusicMoods-weka.filters.unsupervised.attribute.Remove-R14-15,17-18-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.506,0.42,1,4,0.846,0.55152,372627,120.094,0.87,0.0288,0.000002,0.0369,0.0889,0,-10.159,5,0.574,0.777,1
0.702,0.792,0.724,4,0.381,0.20299,332253,81.355,0.17,0.128,0.0222,0.629,0.0274,1,-18.072,2,0.215,0.501,0
0.654,0.537,0.933,4,0.26,0.25891,231000,144.548,0.474,0.273,0.00001,0.0822,0.0372,0,-10.098,7,0.58,0.509,0
0.339,0.192,1,4,0.299,1.01615,169733,176.486,0.502,0.0996,0.000001,0.000079,0.0669,1,-3.067,2,0.858,0.247,1
0.629,0.611,1,4,0.635,0.15583,260747,118.349,0.644,0.117,0.0024,0.00855,0.051,1,-5.429,3,0.843,0.431,1
0.752,0.983,1,4,0.643,2.06077,203160,110.157,0.932,0.212,0,0.105,0.0765,1,-7.137,9,0.787,0.684,1
0.637,0.639,0.582,4,0.076,2.798,457107,81.57,0.0393,0.0963,0.00179,0.826,0.0355,0,-17.862,4,0.102,0.172,0
0.159,0.027,0.667,5,0.009,0,243627,88.023,0.183,0.376,0.000129,0.399,0.0296,0,-5.255,2,0.517,0.214,0
0.599,0.843,0.996,4,0.813,0.19166,241413,128.803,0.452,0.0847,0.0113,0.0775,0.0292,0,-8.095,7,0.743,0.474,0
0.517,0.595,0.913,3,0.271,2.0956,54253,78.314,0.034,0.111,0.855,0.697,0.0471,0,-27.901,3,0.0347,0.201,0
0.704,0.802,0.841,4,0.85,0.30839,201147,127.917,0.314,0.131,0.0138,0.745,0.0413,1,-14.179,8,0.171,0.77,0
0.332,0.005,1,4,0.812,0,370933,112.412,0.185,0.318,0.892,0.908,0.0407,1,-12.146,2,0.57,0.566,1
0.437,0.473,1,4,0.128,0.38322,214893,94.185,0.362,0.122,0.000022,0.0599,0.0237,1,-11.312,9,0.493,0.55,0
0.011,0.044,1,4,0.876,0.18907,320267,111.288,0.811,0.516,0.000481,0.154,0.0398,0,-10.911,4,0.877,0.728,1
0.545,0.543,1,4,0.932,2.0956,221680,124.894,0.642,0.306,0.352,0.00188,0.178,0,-8.082,4,0.834,0.721,1
0.589,0.681,1,4,0.42,0.07429,207547,105.988,0.939,0.0904,0,0.061,0.0549,0,-7.012,2,0.825,0.819,1
0.765,0.524,0.855,4,0.126,0,299653,80.068,0.0776,0.409,0.0261,0.706,0.0291,1,-11.957,9,0.311,0.423,0
0.577,0.475,0.842,3,0.404,1.02744,227053,152.58,0.091,0.177,0.00283,0.0771,0.0279,0,-7.138,9,0.403,0.345,0
0.321,0.403,1,4,0.863,0.14662,216427,126.963,0.765,0.17,0,0.0615,0.119,0,-5.912,8,0.856,0.668,1
0.718,0.707,0.394,4,0.889,0.18549,183493,116.469,0.491,0.112,0.0858,0.892,0.0342,0,-16.321,7,0.26,0.622,0
0.634,0.649,1,4,0.649,0.26703,203992,100.968,0.512,0.114,0,0.0913,0.0568,1,-6.769,1,0.631,0.769,1
0.633,0.664,0.971,4,0.159,3.98222,285760,92.11,0.337,0.0906,0.0134,0.148,0.0314,0,-5.858,0,0.803,0.412,0
0.611,0.452,0.896,4,0.371,0,380253,110.035,0.17,0.0903,0.000002,0.318,0.0418,1,-8.474,2,0.541,0.535,0
0.314,0.163,0.981,4,0.944,0.16898,454187,126.275,0.197,0.53,0.109,0.00209,0.302,1,-8.368,11,0.81,0.642,1
0.145,0,0.146,5,0.578,0.42313,223000,142.036,0.151,0.0987,0,0.312,0.0335,1,-4.555,4,0.657,0.436,0
0.789,0.87,1,4,0.36,0.12068,308013,99.646,0.481,0.112,0.594,0.11,0.0311,1,-5.202,6,0.827,0.442,0
0.516,0.282,1,4,0.365,0.22621,148187,128.149,0.185,0.106,0.404,0.869,0.0346,1,-10.027,0,0.304,0.658,0
0.59,0.606,1,4,0.409,2.87927,191040,95.027,0.53,0.14,0.000034,0.0537,0.0574,0,-6.779,6,0.73,0.661,0
