"_id","id","artist","title","mood","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_duration","track_end_of_fade_in","track_start_of_fade_out","track_loudness","track_tempo","track_tempo_confidence","track_time_signature","track_time_signature_confidence","track_key","track_key_confidence","track_mode","track_mode_confidence"
5a7879206c7da81a2b374d1c,58reH9TVC1HY2MHHpXRndF,Sezen Aksu,El Gibi,0,0.438,0.261,0,-9.791,0,0.0306,0.896,0,0.121,0.202,102.417,260893,3,260.89333,0,251.96553,-9.791,102.417,0.291,3,0.889,0,0.69,0,0.77
5a7879216c7da81a2b374d1d,6CcH0hllA117H5iH6znfLi,Centr,Опоздание,0,0.689,0.718,9,-8.072,0,0.31,0.292,0,0.0987,0.796,86.964,284891,4,284.89143,0.5181,281.26912,-8.072,86.964,0.211,4,0.931,9,0.345,0,0.256
5a7879226c7da81a2b374d1f,4p0exTUus7QxZoRn5mxtAf,a balladeer,Robin II,0,0.525,0.497,3,-7.517,0,0.028,0.321,0,0.119,0.241,91.032,382240,4,382.24,0.15583,354.74866,-7.517,91.032,0.064,4,0.946,3,0.562,0,0.622
5a7879236c7da81a2b374d20,221QLm3ZCyqDJogVlW9Qjl,Gov't Mule,Unring the Bell,0,0.674,0.649,6,-5.37,0,0.0538,0.0579,0.182,0.104,0.669,92.604,485667,4,485.66667,0.08703,474.75519,-5.37,92.604,0.509,4,1,6,0.655,0,0.733
5a7879236c7da81a2b374d21,30pUYzSBJ2tB69lunxzVwj,Jonathan Wilson,Valley of the Silver Moon,0,0.352,0.379,7,-11.573,1,0.0302,0.543,0.789,0.0834,0.134,107.834,632293,4,632.29333,0.26807,618.86984,-11.573,107.834,0.395,4,0.733,7,0.8,1,0.67
5a7879256c7da81a2b374d22,7G7ao6iFuNIn2k9cZhO5lP,Jay Chou,我不配,0,0.731,0.489,10,-8.361,1,0.0244,0.511,0.00000304,0.0775,0.363,108.019,286760,4,286.76,0.50966,277.01406,-8.361,108.019,0.787,4,1,10,0.568,1,0.473
5a7879256c7da81a2b374d23,6BRLm5OWmc9t81X4PgwDGZ,The Exit,Don't Push,0,0.558,0.859,10,-5.173,0,0.0828,0.0174,0,0.26,0.557,140.472,252893,4,252.89333,0.44744,252.89333,-5.173,140.472,0.675,4,1,10,0,0,0.349
5a7879266c7da81a2b374d24,17zS1gHeS1peHRFSY5lCy4,Black,Sweetest Smile,0,0.628,0.353,1,-12.782,0,0.0255,0.409,0.0418,0.0867,0.182,95.191,324320,4,324.32,0.37152,312.10522,-12.782,95.191,0.5,4,0.912,1,0.723,0,0.708
5a7879276c7da81a2b374d25,1uxHDhV68OnB53aAzOHs6E,Wingnut Dishwashers Union,My Idea of Fun,0,0.756,0.354,5,-8.839,1,0.0545,0.748,0,0.123,0.457,87.59,398267,4,398.26667,0.09293,392.99193,-8.839,87.59,0.13,4,0.986,5,0.81,1,0.701
5a7879276c7da81a2b374d26,52ot4jXHi1Dtr768hotL9I,Fuel,Wasted Time - G-Mix,0,0.368,0.808,6,-2.915,0,0.0372,0.0000768,0.00152,0.12,0.324,82.961,247200,4,247.2,0,232.71039,-2.915,82.961,0.04,4,0.988,6,0.338,0,0.548
5a7879296c7da81a2b374d27,0bbOm6C3ZHDfYjEWdngIVr,Hannah Fury,Away,0,0.368,0.234,5,-13.394,1,0.0342,0.739,0.00221,0.12,0.225,127.799,153680,4,153.68,0.20317,139.6332,-13.394,127.799,0.399,4,1,5,0.421,1,0.516
5a7879296c7da81a2b374d28,2hkgKUIHgy9ZBPmdp8kOeA,Erdmöbel,Fahler als nur fahl,0,0.509,0.626,5,-6.652,1,0.0255,0.691,0.00000261,0.079,0.456,147.959,261067,4,261.06667,0,253.10912,-6.652,147.959,0.23,4,1,5,0.619,1,0.667
5a78792b6c7da81a2b374d29,4DEH8cNLLVfXVK2eQkCIdo,Penguin Cafe Orchestra,Zopf: In A Sydney Motel - 2008 Digital Remaster,0,0.406,0.229,0,-16.53,1,0.0284,0.689,0.0901,0.111,0.0466,95.812,147907,4,147.90667,0.13927,144.88091,-16.53,95.812,0.608,4,0.996,0,0.269,1,0.519
5a78792b6c7da81a2b374d2a,6byp7KQaDiJXkDqxVL0hbk,Kenny Chesney,The Tin Man,0,0.5,0.234,4,-13.224,1,0.0262,0.092,0.00655,0.114,0.134,146.626,208960,4,208.96,0.52095,198.06041,-13.224,146.626,0.155,4,0.963,4,0.827,1,0.737
5a78792c6c7da81a2b374d2b,5PjdUttDPixZMmmD95Y26J,Rilo Kiley,About the Moon,0,0.321,0.327,0,-9.542,1,0.0282,0.88,0.0246,0.11,0.148,75.098,189320,4,189.32,0.25601,178.71819,-9.542,75.098,0.019,4,1,0,0.668,1,0.694
5a78792f6c7da81a2b374d2c,5cpVMGwMJZ0i35BOneEx7n,Amebix,I.C.B.M.,0,0.247,0.658,0,-15.556,1,0.0545,0.00000421,0.774,0.294,0.139,87.867,365160,4,365.16,0.46272,358.20844,-15.556,87.867,0.249,4,0.982,0,0.41,1,0.446
5a7879306c7da81a2b374d2d,1sbnWaXzfyWwncLk8HaCj8,Anouar Brahem Trio,Blue Jewels,0,0.328,0.0577,7,-26.477,1,0.0598,0.977,0.935,0.107,0.088,76.959,508133,4,508.13333,0.49098,501.33043,-26.477,76.959,0.236,4,0.605,7,0.545,1,0.506
5a7879316c7da81a2b374d2e,6QKUS5rzghgAHNxc5wlfDS,2 Unlimited,Where Are You Now,0,0.611,0.384,7,-14.308,0,0.0255,0.164,0.00115,0.113,0.0821,90.03,302360,4,302.35995,4.38277,291.17823,-14.308,90.03,0.434,4,0.933,7,0.652,0,0.63
5a7879326c7da81a2b374d2f,5p00bpcDaOrLri9C4BV36a,Carly Simon,Better Not Tell Her - Remastered 2004/Single Version,0,0.758,0.713,2,-8.423,1,0.0291,0.288,0.000373,0.314,0.868,108.02,289560,4,289.56,3.44236,278.85424,-8.423,108.02,0.893,4,0.886,2,0.919,1,0.802
5a7879326c7da81a2b374d30,27kiutO1ZqQuSmU5n3XJNw,Scott Matthew,For Dick,0,0.458,0.192,11,-11.877,0,0.0302,0.897,0.000045,0.0844,0.144,134.09,252840,4,252.84,0.3317,238.38186,-11.877,134.09,0.159,4,0.976,11,0.905,0,0.821
5a7879346c7da81a2b374d32,6ePKjUxFQUtAN4QyPwZSok,Ella Fitzgerald,Always True To You In My Fashion,0,0.608,0.315,8,-9.175,1,0.0372,0.745,0,0.0665,0.809,74.406,168600,4,168.6,0.22018,165.55247,-9.175,74.406,0.035,4,1,8,0.56,1,0.555
5a7879356c7da81a2b374d33,4Jv0feol1agGORfImkWHLr,Logh,The Big Sleep,0,0.407,0.201,11,-15.489,1,0.0458,0.221,0.82,0.11,0.0397,110.237,247667,4,247.66667,4.5337,236.37333,-15.489,110.237,0.06,4,0.873,11,0.67,1,0.658
