@relation 'MusicMoods-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R7'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.743,0.874,0.998,4,0.572,0.51664,291960,114.919,0.411,0.144,0.00113,0.25,0.0318,0,-3.312,4,0.784,0.475,0
0.707,0.724,1,4,0.787,0.08912,237267,127.988,0.714,0.0981,0.000003,0.0159,0.067,0,-5.236,11,0.856,0.792,1
0.489,0.519,0.892,4,0.502,0.26132,202827,101.855,0.0908,0.338,0.557,0.327,0.0257,1,-14.397,7,0.382,0.316,0
0.605,0.612,1,4,0.843,0.35964,179293,127.944,0.737,0.268,0,0.00354,0.0656,0,-4.344,5,0.694,0.765,1
0.371,0.505,1,4,0.494,0.26984,370627,120.147,0.723,0.0848,0.459,0.603,0.0347,0,-11.051,9,0.559,0.721,1
0.572,0.412,1,4,0.08,2.97215,229747,180.046,0.73,0.105,0.00501,0.0941,0.0375,1,-5.285,1,0.862,0.538,1
0.499,0.439,0.78,4,0.938,2.62966,160267,151.842,0.58,0.0856,0,0.000184,0.106,1,-4.027,4,0.99,0.482,1
0.645,0.677,1,4,0.66,0.4858,251133,117.572,0.402,0.131,0.0728,0.00001,0.0304,1,-6.952,2,0.712,0.4,0
0.68,0.742,0.881,4,0.172,0.23841,266813,154.166,0.114,0.152,0.000277,0.268,0.0298,1,-4.836,4,0.633,0.353,0
0.586,0.637,0.896,4,0.011,0,179040,92.931,0.328,0.371,0,0.619,0.335,1,-5.565,2,0.94,0.339,0
0.641,0.717,1,4,0.836,0,279307,117.907,0.101,0.0941,0.709,0.966,0.0327,0,-20.239,8,0.336,0.691,0
0.608,0.598,0.874,4,0.929,0.34245,219813,108.94,0.88,0.114,0.211,0.33,0.0326,0,-4.44,9,0.665,0.802,1
0.671,0.777,1,4,0.791,0.44857,184280,113.822,0.962,0.0697,0.527,0.0809,0.0431,1,-9.068,4,0.807,0.545,1
0.589,0.655,1,4,0.797,0.0805,206054,105.965,0.964,0.128,0,0.222,0.0374,1,-4.686,4,0.848,0.738,1
0.497,0.581,0.922,4,0.941,0,175560,95.918,0.821,0.418,0,0.278,0.24,1,-7.053,7,0.793,0.732,0
0.719,0.687,0.76,4,0.172,0,279187,75.162,0.525,0.116,0.000043,0.148,0.0448,1,-4.852,9,0.734,0.403,1
0.695,0.769,0.958,4,0.386,0.27333,282813,103.02,0.498,0.112,0.0153,0.774,0.0279,1,-11.077,9,0.411,0.412,0
0.527,0.407,0.986,4,0.406,0.2829,82760,128.465,0.444,0.134,0.000017,0.715,0.0336,1,-9.349,2,0.215,0.519,0
0.478,0.335,0.887,4,0.347,0.09224,288240,153.68,0.387,0.333,0.000029,0.0257,0.0533,1,-4.513,4,0.905,0.27,1
